scenario_id,sample_factor,unit,check_id,status,observed_value,threshold_or_expected,definition
BAU_2040,0.05,check,measurement_both_inside_bike_missing_trip_count,REPORTED,"0","structural selected-plan trips","standard output-trip measurement not available for every structural selected-plan trip"
BAU_2040,0.05,check,measurement_both_inside_bike_coverage_percent,PASS,"100.000000000000","99.000000000000%","unique standard output-trip rows divided by structural trips"
BAU_2040,0.05,check,measurement_both_inside_bike_valid_distance_time_coverage_percent,PASS,"100.000000000000","99.000000000000%","valid routed distance/time rows divided by structural trips"
BAU_2040,0.05,check,measurement_both_inside_walk_structural_trip_count,REPORTED,"33744","selected-plan main trips","structural count for accounting scope and main mode"
BAU_2040,0.05,check,measurement_both_inside_walk_measured_trip_count,REPORTED,"33744","unique standard output-trip rows","available rows matching the structural scope and main mode"
BAU_2040,0.05,check,measurement_both_inside_walk_missing_trip_count,REPORTED,"0","structural selected-plan trips","standard output-trip measurement not available for every structural selected-plan trip"
BAU_2040,0.05,check,measurement_both_inside_walk_coverage_percent,PASS,"100.000000000000","99.000000000000%","unique standard output-trip rows divided by structural trips"
BAU_2040,0.05,check,measurement_both_inside_walk_valid_distance_time_coverage_percent,PASS,"100.000000000000","99.000000000000%","valid routed distance/time rows divided by structural trips"
BAU_2040,0.05,check,measurement_munich_residents_car_structural_trip_count,REPORTED,"55177","selected-plan main trips","structural count for accounting scope and main mode"
BAU_2040,0.05,check,measurement_munich_residents_car_measured_trip_count,REPORTED,"55177","unique standard output-trip rows","available rows matching the structural scope and main mode"
BAU_2040,0.05,check,measurement_munich_residents_car_missing_trip_count,REPORTED,"0","structural selected-plan trips","standard output-trip measurement not available for every structural selected-plan trip"
BAU_2040,0.05,check,measurement_munich_residents_car_coverage_percent,PASS,"100.000000000000","99.000000000000%","unique standard output-trip rows divided by structural trips"
BAU_2040,0.05,check,measurement_munich_residents_car_valid_distance_time_coverage_percent,PASS,"100.000000000000","99.000000000000%","valid routed distance/time rows divided by structural trips"
BAU_2040,0.05,check,measurement_munich_residents_pt_structural_trip_count,REPORTED,"54201","selected-plan main trips","structural count for accounting scope and main mode"
BAU_2040,0.05,check,measurement_munich_residents_pt_measured_trip_count,REPORTED,"54201","unique standard output-trip rows","available rows matching the structural scope and main mode"
BAU_2040,0.05,check,measurement_munich_residents_pt_missing_trip_count,REPORTED,"0","structural selected-plan trips","standard output-trip measurement not available for every structural selected-plan trip"
BAU_2040,0.05,check,measurement_munich_residents_pt_coverage_percent,PASS,"100.000000000000","99.000000000000%","unique standard output-trip rows divided by structural trips"
BAU_2040,0.05,check,measurement_munich_residents_pt_valid_distance_time_coverage_percent,PASS,"100.000000000000","99.000000000000%","valid routed distance/time rows divided by structural trips"
BAU_2040,0.05,check,measurement_munich_residents_bike_structural_trip_count,REPORTED,"34432","selected-plan main trips","structural count for accounting scope and main mode"
BAU_2040,0.05,check,measurement_munich_residents_bike_measured_trip_count,REPORTED,"34432","unique standard output-trip rows","available rows matching the structural scope and main mode"
BAU_2040,0.05,check,measurement_munich_residents_bike_missing_trip_count,REPORTED,"0","structural selected-plan trips","standard output-trip measurement not available for every structural selected-plan trip"
BAU_2040,0.05,check,measurement_munich_residents_bike_coverage_percent,PASS,"100.000000000000","99.000000000000%","unique standard output-trip rows divided by structural trips"
BAU_2040,0.05,check,measurement_munich_residents_bike_valid_distance_time_coverage_percent,PASS,"100.000000000000","99.000000000000%","valid routed distance/time rows divided by structural trips"
BAU_2040,0.05,check,measurement_munich_residents_walk_structural_trip_count,REPORTED,"18060","selected-plan main trips","structural count for accounting scope and main mode"
BAU_2040,0.05,check,measurement_munich_residents_walk_measured_trip_count,REPORTED,"18060","unique standard output-trip rows","available rows matching the structural scope and main mode"
BAU_2040,0.05,check,measurement_munich_residents_walk_missing_trip_count,REPORTED,"0","structural selected-plan trips","standard output-trip measurement not available for every structural selected-plan trip"
BAU_2040,0.05,check,measurement_munich_residents_walk_coverage_percent,PASS,"100.000000000000","99.000000000000%","unique standard output-trip rows divided by structural trips"
BAU_2040,0.05,check,measurement_munich_residents_walk_valid_distance_time_coverage_percent,PASS,"100.000000000000","99.000000000000%","valid routed distance/time rows divided by structural trips"
BAU_2040,0.05,check,missing_indexed_trips_endpoint_both_inside,REPORTED,"0","structural selected-plan trips","missing standard output-trip rows grouped by selected-plan endpoint category"
BAU_2040,0.05,check,missing_indexed_trips_endpoint_origin_only,REPORTED,"0","structural selected-plan trips","missing standard output-trip rows grouped by selected-plan endpoint category"
BAU_2040,0.05,check,missing_indexed_trips_endpoint_destination_only,REPORTED,"0","structural selected-plan trips","missing standard output-trip rows grouped by selected-plan endpoint category"
BAU_2040,0.05,check,missing_indexed_trips_endpoint_both_outside,REPORTED,"8","structural selected-plan trips","missing standard output-trip rows grouped by selected-plan endpoint category"
BAU_2040,0.05,check,missing_indexed_trips_endpoint_invalid_or_missing_coordinate,REPORTED,"0","structural selected-plan trips","missing standard output-trip rows grouped by selected-plan endpoint category"
BAU_2040,0.05,check,missing_indexed_trips_resident_resident,REPORTED,"0","structural selected-plan trips","missing standard output-trip rows grouped by documented resident status"
BAU_2040,0.05,check,missing_indexed_trips_resident_non_resident,REPORTED,"1","structural selected-plan trips","missing standard output-trip rows grouped by documented resident status"
BAU_2040,0.05,check,missing_indexed_trips_resident_unresolved,REPORTED,"7","structural selected-plan trips","missing standard output-trip rows grouped by documented resident status"
BAU_2040,0.05,check,unexpected_main_modes,PASS,"0","0","only car, pt, bike and walk are accepted"
BAU_2040,0.05,check,unresolved_residents,REPORTED,"107618","reported and excluded","residence is never inferred from trip origin"
BAU_2040,0.05,check,private_car_attribution,PASS,"0","0","all private-car event segments resolve to one person and selected-plan main trip"
BAU_2040,0.05,check,private_car_fkm_endpoint_both_inside,REPORTED,"406182.774073380900","sample vehicle_km","mutually exclusive selected-plan endpoint category used in regional reconciliation"
BAU_2040,0.05,check,private_car_fkm_endpoint_origin_only,REPORTED,"267208.515686064500","sample vehicle_km","mutually exclusive selected-plan endpoint category used in regional reconciliation"
BAU_2040,0.05,check,private_car_fkm_endpoint_destination_only,REPORTED,"405155.276250666530","sample vehicle_km","mutually exclusive selected-plan endpoint category used in regional reconciliation"
BAU_2040,0.05,check,private_car_fkm_endpoint_both_outside,REPORTED,"2073567.985877463000","sample vehicle_km","mutually exclusive selected-plan endpoint category used in regional reconciliation"
BAU_2040,0.05,check,private_car_fkm_endpoint_invalid_or_missing_coordinate,REPORTED,"0.000000000000","sample vehicle_km","mutually exclusive selected-plan endpoint category used in regional reconciliation"
BAU_2040,0.05,check,regional_private_car_fkm_reconciliation,PASS,"3152114.551887575000","3152114.551887584400","all endpoint categories sum to unchanged regional event-based car Fkm"
BAU_2040,0.05,check,regional_pt_fkm_reconciliation,PASS,"1586802.418738365000","1586802.418738365000","uncut event PT service equals unchanged final_pt_fkm_by_route_mode.csv"
BAU_2040,0.05,check,point_anchored_pt_pseudolinks_used,REPORTED,"4353","distinct event-used links","positive-model-length PT self-loops with identical finite endpoint coordinates use a point-anchor proxy, not geometric clipping"
BAU_2040,0.05,check,point_anchored_pt_pseudolink_uncut_model_km,REPORTED,"217.650000000000","unique model link km","positive MATSim model lengths of distinct used point-anchored pseudolinks"
BAU_2040,0.05,check,point_anchored_pt_pseudolinks_inside,REPORTED,"371","distinct event-used links","anchors strictly inside the Munich polygon; full model length is assigned territorially"
BAU_2040,0.05,check,point_anchored_pt_pseudolink_inside_model_km,REPORTED,"18.550000000000","unique model link km","model length of point-anchored pseudolinks classified strictly inside"
BAU_2040,0.05,check,point_anchored_pt_pseudolinks_outside,REPORTED,"3982","distinct event-used links","anchors outside and not covered by the Munich polygon; zero territorial distance is assigned"
BAU_2040,0.05,check,point_anchored_pt_pseudolink_outside_model_km,REPORTED,"199.100000000000","unique model link km","model length of point-anchored pseudolinks classified outside"
BAU_2040,0.05,check,point_anchored_pt_pseudolink_boundary_ambiguous_anchors,PASS,"0","0","a point anchor covered by but not strictly inside the boundary must fail before publication"
BAU_2040,0.05,check,point_anchored_pt_pseudolink_territorial_service_km,REPORTED,"0.000000000000","full-service vehicle_km","territorial PT service assigned through the documented point-anchor proxy"
BAU_2040,0.05,check,point_anchored_pt_pseudolink_territorial_service_share_percent,REPORTED,"0.000000000000","percent of territorial PT Fkm","share of territorial PT service relying on the point-anchor proxy"
BAU_2040,0.05,check,zero_model_length_pt_links_used,REPORTED,"9","distinct event-used links","zero-model-length PT links are reported separately and contribute zero territorial service"
BAU_2040,0.05,check,zero_model_length_pt_link_territorial_service_km,PASS,"0.000000000000","0","zero-model-length PT links must not contribute territorial vehicle-kilometres"
BAU_2040,0.05,check,pt_scaling,PASS,"1.0","no factor 20","public-transport service is simulated at full service scale"
BAU_2040,0.05,check,annualisation,REPORTED,"365 multiplier","illustrative only","technical weekday multiplied by 365 as illustrative_annual_equivalent_365_days; not empirically validated annualisation"
