route_id,route_name,inferred_mode,original_route_type,corrected_route_type,selection_reason,classification_basis,retained_trips,agency_id,munich_flag,analysis_rail_flag,ferry_flag,bmw_works_line_flag,deutschlandtakt_flag,deutschlandtakt_line_name,forecast_network_2037_flag,forecast_measure_flag,s_bahn_name
161852_2,161852_2,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
161932_2,161932_2,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,37,unknown,0,1,0,0,0,,0,0,
162007_2_1158069508,162007_2_1158069508,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,64,unknown,0,1,0,0,0,,0,0,
162007_2_1158069514,162007_2_1158069514,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,4,unknown,0,1,0,0,0,,0,0,
162007_2_1158069610,162007_2_1158069610,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,6,unknown,0,1,0,0,0,,0,0,
162007_2_1158069900,162007_2_1158069900,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,44,unknown,0,1,0,0,0,,0,0,
162007_2_1158069980,162007_2_1158069980,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
162007_2_1158070084,162007_2_1158070084,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,15,unknown,0,1,0,0,0,,0,0,
162007_2_1158070088,162007_2_1158070088,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,6,unknown,0,1,0,0,0,,0,0,
162007_2_1158070147,162007_2_1158070147,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,57,unknown,0,1,0,0,0,,0,0,
162007_2_1158070198,162007_2_1158070198,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
162007_2_1158070204,162007_2_1158070204,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,8,unknown,0,1,0,0,0,,0,0,
162007_2_1158070277,162007_2_1158070277,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
162192_3,162192_3,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,90,unknown,0,1,0,0,0,,0,0,
162192_4,162192_4,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,33,unknown,0,1,0,0,0,,0,0,
162192_5,162192_5,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,63,unknown,0,1,0,0,0,,0,0,
162193_3,162193_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,1,unknown,0,0,0,0,0,,1,0,
162194_2,162194_2,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,20,unknown,0,1,0,0,0,,0,0,
162195_2,162195_2,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,36,unknown,0,1,0,0,0,,0,0,
162263_102,162263_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,8,unknown,0,1,0,0,0,,0,0,
162265_2,162265_2,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,1,unknown,0,1,0,0,0,,0,0,
162267_2,162267_2,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
162289_101,162289_101,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,19,unknown,0,1,0,0,0,,0,0,
162294_101,162294_101,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,14,unknown,0,1,0,0,0,,0,0,
162297_101,162297_101,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,32,unknown,0,1,0,0,0,,0,0,
162298_102,162298_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
162300_101,162300_101,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,3,unknown,0,1,0,0,0,,0,0,
162300_102,162300_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,1,unknown,0,1,0,0,0,,0,0,
162301_101,162301_101,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
162303_101,162303_101,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
162304_102,162304_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
162307_101,162307_101,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,15,unknown,0,1,0,0,0,,0,0,
162308_101,162308_101,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,5,unknown,0,1,0,0,0,,0,0,
162317_102,162317_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,16,unknown,0,1,0,0,0,,0,0,
162318_102,162318_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,3,unknown,0,1,0,0,0,,0,0,
162319_102,162319_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,17,unknown,0,1,0,0,0,,0,0,
162329_102,162329_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,6,unknown,0,1,0,0,0,,0,0,
162330_102,162330_102,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,1,unknown,0,1,0,0,0,,0,0,
162424_106,162424_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,241,unknown,0,1,0,0,0,,0,0,
162425_106,162425_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,4,unknown,0,1,0,0,0,,0,0,
162426_106,162426_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,38,unknown,0,1,0,0,0,,0,0,
162427_106_1,162427_106_1,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,29,unknown,0,1,0,0,0,,0,0,
162428_106,162428_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,70,unknown,0,1,0,0,0,,0,0,
162429_106,162429_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,60,unknown,0,1,0,0,0,,0,0,
162430_106,162430_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,39,unknown,0,1,0,0,0,,0,0,
162431_106,162431_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,20,unknown,0,1,0,0,0,,0,0,
162433_106,162433_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,170,unknown,0,1,0,0,0,,0,0,
162434_106,162434_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,6,unknown,0,1,0,0,0,,0,0,
162442_106,162442_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,39,unknown,0,1,0,0,0,,0,0,
162443_106,162443_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,65,unknown,0,1,0,0,0,,0,0,
162444_106,162444_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,88,unknown,0,1,0,0,0,,0,0,
162445_106,162445_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,27,unknown,0,1,0,0,0,,0,0,
162448_106,162448_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,40,unknown,0,1,0,0,0,,0,0,
162449_106,162449_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,24,unknown,0,1,0,0,0,,0,0,
162450_106,162450_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,3,unknown,0,1,0,0,0,,0,0,
162451_106,162451_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,32,unknown,0,1,0,0,0,,0,0,
162452_106_1,162452_106_1,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,67,unknown,0,1,0,0,0,,0,0,
162452_106_2,162452_106_2,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,71,unknown,0,1,0,0,0,,0,0,
162452_106_3,162452_106_3,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,97,unknown,0,1,0,0,0,,0,0,
162455_109,162455_109,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,220,unknown,1,1,0,0,0,,0,0,
162456_109,162456_109,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,186,unknown,1,1,0,0,0,,0,0,
162457_109,162457_109,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,18,unknown,1,1,0,0,0,,0,0,
162458_109,162458_109,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,161,unknown,1,1,0,0,0,,0,0,
162459_109,162459_109,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,126,unknown,1,1,0,0,0,,0,0,
162460_109,162460_109,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,123,unknown,1,1,0,0,0,,0,0,
162461_109,162461_109,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,121,unknown,1,1,0,0,0,,0,0,
162462_109,162462_109,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,170,unknown,1,1,0,0,0,,0,0,
162468_106_3,162468_106_3,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,32,unknown,0,1,0,0,0,,0,0,
1647284_3,1647284_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,20,unknown,0,0,0,0,0,,1,0,
1647285_3,1647285_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,18,unknown,0,0,0,0,0,,1,0,
1647286_3,1647286_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,23,unknown,0,0,0,0,0,,1,0,
1647287_3,1647287_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,20,unknown,0,0,0,0,0,,1,0,
1647288_3,1647288_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,30,unknown,0,0,0,0,0,,1,0,
1647289_3,1647289_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,29,unknown,0,0,0,0,0,,1,0,
1647290_3,1647290_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1647291_3,1647291_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,6,unknown,0,0,0,0,0,,1,0,
1647292_3,1647292_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,35,unknown,0,0,0,0,0,,1,0,
1647293_3,1647293_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,19,unknown,0,0,0,0,0,,1,0,
1647294_3,1647294_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,2,unknown,0,0,0,0,0,,1,0,
1647295_3,1647295_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,2,unknown,0,0,0,0,0,,1,0,
1647296_3,1647296_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,3,unknown,0,0,0,0,0,,1,0,
1647297_3,1647297_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,3,unknown,0,0,0,0,0,,1,0,
1647298_3,1647298_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,13,unknown,0,0,0,0,0,,1,0,
1647299_3,1647299_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,11,unknown,0,0,0,0,0,,1,0,
1647300_3,1647300_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,7,unknown,0,0,0,0,0,,1,0,
1647301_3,1647301_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,3,unknown,0,0,0,0,0,,1,0,
1647302_3,1647302_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,9,unknown,0,0,0,0,0,,1,0,
1647303_3,1647303_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,5,unknown,0,0,0,0,0,,1,0,
1647304_3,1647304_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,6,unknown,0,0,0,0,0,,1,0,
1647305_3,1647305_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,6,unknown,0,0,0,0,0,,1,0,
16_MUC_Tram neu Prognose,16_MUC_Tram neu Prognose,tram,0,0,trip serves at least two distinct stops inside network extent,forecast route name identifies Munich tram,392,1,1,0,0,0,0,,1,1,
17_MUC_Tram neu Prognose,17_MUC_Tram neu Prognose,tram,0,0,trip serves at least two distinct stops inside network extent,forecast route name identifies Munich tram,230,1,1,0,0,0,0,,1,1,
1850857_3,1850857_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,27,unknown,0,0,0,0,0,,1,0,
1850858_3,1850858_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,27,unknown,0,0,0,0,0,,1,0,
1850859_3,1850859_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,27,unknown,0,0,0,0,0,,1,0,
1850860_3,1850860_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,1,unknown,0,0,0,0,0,,1,0,
1850861_3,1850861_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,27,unknown,0,0,0,0,0,,1,0,
1850862_3,1850862_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,11,unknown,0,0,0,0,0,,1,0,
1850863_3,1850863_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,14,unknown,0,0,0,0,0,,1,0,
1850864_3,1850864_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,11,unknown,0,0,0,0,0,,1,0,
1850865_3,1850865_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,51,unknown,0,0,0,0,0,,1,0,
1850866_3,1850866_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,9,unknown,0,0,0,0,0,,1,0,
1850867_3,1850867_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,9,unknown,0,0,0,0,0,,1,0,
1850868_3,1850868_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,24,unknown,0,0,0,0,0,,1,0,
1850869_3,1850869_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,21,unknown,0,0,0,0,0,,1,0,
1850870_3,1850870_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,27,unknown,0,0,0,0,0,,1,0,
1850871_3,1850871_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,44,unknown,0,0,0,0,0,,1,0,
1850872_3,1850872_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,43,unknown,0,0,0,0,0,,1,0,
1850873_3,1850873_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1850874_3,1850874_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,7,unknown,0,0,0,0,0,,1,0,
1850875_3,1850875_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,5,unknown,0,0,0,0,0,,1,0,
1850876_3,1850876_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,9,unknown,0,0,0,0,0,,1,0,
1850877_2,1850877_2,rail,0,2,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 2,46,unknown,0,0,0,0,0,,1,0,
1850878_2,1850878_2,rail,0,2,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 2,35,unknown,0,0,0,0,0,,1,0,
1850879_2,1850879_2,rail,0,2,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 2,104,unknown,0,0,0,0,0,,1,0,
1850880_2,1850880_2,rail,0,2,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 2,57,unknown,0,0,0,0,0,,1,0,
1850881_2,1850881_2,rail,0,2,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 2,95,unknown,0,0,0,0,0,,1,0,
1850882_2,1850882_2,rail,0,2,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 2,7,unknown,0,0,0,0,0,,1,0,
1892595_3,1892595_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,50,unknown,0,0,0,0,0,,1,0,
1892596_3,1892596_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,54,unknown,0,0,0,0,0,,1,0,
1892597_3,1892597_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,42,unknown,0,0,0,0,0,,1,0,
1892598_3,1892598_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,54,unknown,0,0,0,0,0,,1,0,
1892599_3,1892599_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,2,unknown,0,0,0,0,0,,1,0,
18_MUC_Tram neu Prognose,18_MUC_Tram neu Prognose,tram,0,0,trip serves at least two distinct stops inside network extent,forecast route name identifies Munich tram,237,1,1,0,0,0,0,,1,1,
1915147_3,1915147_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,54,unknown,0,0,0,0,0,,1,0,
1915148_3,1915148_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,54,unknown,0,0,0,0,0,,1,0,
1915149_3,1915149_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,54,unknown,0,0,0,0,0,,1,0,
1915150_3,1915150_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,58,unknown,0,0,0,0,0,,1,0,
1915151_3,1915151_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,54,unknown,0,0,0,0,0,,1,0,
1915152_3,1915152_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,54,unknown,0,0,0,0,0,,1,0,
1915153_3,1915153_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,20,unknown,0,0,0,0,0,,1,0,
1915154_3,1915154_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,8,unknown,0,0,0,0,0,,1,0,
1915155_3,1915155_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,18,unknown,0,0,0,0,0,,1,0,
1960464_106,1960464_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
1960465_106,1960465_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
1960466_106,1960466_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
1960467_106,1960467_106,rail,0,2,trip serves at least two distinct stops inside network extent,custom Analyselinie_Schiene flag,2,unknown,0,1,0,0,0,,0,0,
1989732_3,1989732_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,10,unknown,0,0,0,0,0,,1,0,
1989733_3,1989733_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,7,unknown,0,0,0,0,0,,1,0,
1989734_3,1989734_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,5,unknown,0,0,0,0,0,,1,0,
1989735_3,1989735_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,3,unknown,0,0,0,0,0,,1,0,
1989736_3,1989736_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,3,unknown,0,0,0,0,0,,1,0,
1989737_3,1989737_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,5,unknown,0,0,0,0,0,,1,0,
1989738_3,1989738_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,34,unknown,0,0,0,0,0,,1,0,
1989739_3,1989739_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,3,unknown,0,0,0,0,0,,1,0,
1989740_3,1989740_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,23,unknown,0,0,0,0,0,,1,0,
1989741_3,1989741_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,18,unknown,0,0,0,0,0,,1,0,
1989742_3,1989742_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,5,unknown,0,0,0,0,0,,1,0,
1989743_3,1989743_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,3,unknown,0,0,0,0,0,,1,0,
1989744_3,1989744_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,9,unknown,0,0,0,0,0,,1,0,
1989745_3,1989745_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,19,unknown,0,0,0,0,0,,1,0,
1989746_3,1989746_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,26,unknown,0,0,0,0,0,,1,0,
1989747_3,1989747_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,2,unknown,0,0,0,0,0,,1,0,
1989748_3,1989748_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1989749_3,1989749_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,9,unknown,0,0,0,0,0,,1,0,
1989750_3,1989750_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,17,unknown,0,0,0,0,0,,1,0,
1989751_3,1989751_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,4,unknown,0,0,0,0,0,,1,0,
1989752_3,1989752_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,3,unknown,0,0,0,0,0,,1,0,
1989753_3,1989753_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,3,unknown,0,0,0,0,0,,1,0,
1989754_3,1989754_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,6,unknown,0,0,0,0,0,,1,0,
1989755_3,1989755_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,6,unknown,0,0,0,0,0,,1,0,
1989756_3,1989756_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,6,unknown,0,0,0,0,0,,1,0,
1989757_3,1989757_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,6,unknown,0,0,0,0,0,,1,0,
1989758_3,1989758_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,10,unknown,0,0,0,0,0,,1,0,
1989759_3,1989759_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,11,unknown,0,0,0,0,0,,1,0,
1989760_3,1989760_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,2,unknown,0,0,0,0,0,,1,0,
1989761_3,1989761_3,bus,0,3,trip serves at least two distinct stops inside network extent,route ID suffix encodes source type 3,7,unknown,0,0,0,0,0,,1,0,
